Station,ID,Address,Date,TSS,DO,P,ENT,Sal,Temp,pH,CHL_A,N
Trib Army Crk. ,#REF!, Rt. 13 near Airport Ind. Park,12/3/2019 8:52,27.8,9.58,0.1,73,0.15,4.6,7.2,2.49,0.61
Trib Army Crk. ,#REF!, Rt. 13 near Airport Ind. Park,2/5/2020 8:29,7.5,9.44,0.04,22,0.31,7.2,7,0.8,0.97
Trib Army Crk. ,#REF!, Rt. 13 near Airport Ind. Park,4/7/2020 9:08,7.2,9.02,0.04,78,0.32,11.6,6.9,5.87,0.48
Trib Army Crk. ,#REF!, Rt. 13 near Airport Ind. Park,6/10/2020 8:33,5.5,4.23,0.13,68,0.15,20.4,7.5,2.32,1.08
Trib Army Crk. ,#REF!, Rt. 13 near Airport Ind. Park,8/11/2020 8:46,8.4,4.63,0.08,731,0.14,24.6,6.9,0.1,0.65
Trib Army Crk. ,#REF!, Rt. 13 near Airport Ind. Park,10/6/2020 8:27,31.9,5.63,0.07,437,0.11,14.1,6.8,0.36,0.75
Trib Army CreeK ,#REF!, Rt. 13 near Rt. 40,12/3/2019 8:43,44.7,8.88,0.1,1100,0.28,5.9,7,5.06,1.09
Trib Army CreeK ,#REF!, Rt. 13 near Rt. 40,2/5/2020 8:22,1.6,11.46,0.02,58,0.18,8.1,7.1,0.22,1.24
Trib Army CreeK ,#REF!, Rt. 13 near Rt. 40,4/7/2020 8:58,1.4,10.31,0.01,97,0.19,11.7,7.4,0.58,0.94
Trib Army CreeK ,#REF!, Rt. 13 near Rt. 40,8/11/2020 8:30,1.7,8.02,0.02,922,0.24,24.3,7.1,0.33,1.38
Trib Army CreeK ,#REF!, Rt. 13 near Rt. 40,10/6/2020 8:13,1.6,9.6,0.02,626,0.22,14.8,7.1,0.63,1.44
Mill Creek (Lake Como outfall) ,#REF!, Rt. 13,12/11/2019 9:48,11.7,11.45,0.14,38,0.05,7.3,7.2,93.5,1.45
Mill Creek (Lake Como outfall) ,#REF!, Rt. 13,2/18/2020 10:00,9.6,12.93,0.11,6,0.05,8.1,7,73,1.46
Mill Creek (Lake Como outfall) ,#REF!, Rt. 13,4/15/2020 9:41,19.6,10.4,0.12,91,0.05,12.7,6.8,80.7,0.96
Mill Creek (Lake Como outfall) ,#REF!, Rt. 13,6/3/2020 10:22,16.1,8.84,0.15,21,0.12,23.5,7.3,73.4,1.11
Mill Creek (Lake Como outfall) ,#REF!, Rt. 13,8/12/2020 8:00,5.9,8.61,0.13,79,0.05,28.1,7,52.9,1.07
Mill Creek (Lake Como outfall) ,#REF!, Rt. 13,10/14/2020 9:30,12.2,8.93,0.09,22,0.05,17.7,6.6,50.8,1.32
Mill Creek ,#REF!, Carter Rd. (Rd. 137),12/11/2019 8:57,17.4,10.9,0.2,1030,0.05,7.5,6.8,11.6,1.29
Mill Creek ,#REF!, Carter Rd. (Rd. 137),2/18/2020 9:29,7,9.33,0.11,297,0.1,8.3,6.4,2.93,2.38
Mill Creek ,#REF!, Carter Rd. (Rd. 137),4/15/2020 9:04,7.6,8.36,0.15,167,0.05,10.7,6.2,4.4,1.55
Mill Creek ,#REF!, Carter Rd. (Rd. 137),6/3/2020 9:35,14.8,8.69,0.2,22,0.05,21.6,6.5,74,1.55
Mill Creek ,#REF!, Carter Rd. (Rd. 137),8/12/2020 8:56,9.3,10.19,0.18,26,0.05,27.6,6.7,101,1.35
Mill Creek ,#REF!, Carter Rd. (Rd. 137),10/14/2020 8:50,4.2,7.68,0.15,104,0.1,14.6,6.4,2.12,1.94
Smyrna River ,#REF!, Flemings Landing (Rt. 9),12/11/2019 8:56,114,11.32,0.22,166,6.44,6.8,7.3,16.4,1.62
Smyrna River ,#REF!, Flemings Landing (Rt. 9),2/18/2020 8:13,126,10.27,0.23,22,4.75,7,7.7,17,2.35
Smyrna River ,#REF!, Flemings Landing (Rt. 9),4/15/2020 8:39,66.2,9.22,0.2,293,2.61,13.6,7.6,18.3,1.34
Smyrna River ,#REF!, Flemings Landing (Rt. 9),6/3/2020 7:57,99.4,7.85,0.21,228,5.04,20,7.6,13.1,1.4
Smyrna River ,#REF!, Flemings Landing (Rt. 9),8/12/2020 9:04,41.1,3.91,0.25,1230,1.1,27.6,6.7,11.6,1.15
Smyrna River ,#REF!, Flemings Landing (Rt. 9),10/14/2020 8:54,86.4,6.91,0.23,1720,8.52,16.9,7,6.31,1.41
DucK Creek ,#REF!, Smyrna Landing Rd. (Rd. 485),12/11/2019 9:50,89.8,11.07,0.2,267,1.49,7.9,7.1,22.9,2.12
DucK Creek ,#REF!, Smyrna Landing Rd. (Rd. 485),2/18/2020 10:18,42.3,10.33,0.16,182,0.78,6.6,6.5,6.44,1.83
DucK Creek ,#REF!, Smyrna Landing Rd. (Rd. 485),4/15/2020 9:54,83,8.99,0.31,1300,0.14,12.4,6.5,48.6,2.33
DucK Creek ,#REF!, Smyrna Landing Rd. (Rd. 485),6/3/2020 10:12,53,5.18,0.23,1540,1.56,21.5,6.8,38,1.5
DucK Creek ,#REF!, Smyrna Landing Rd. (Rd. 485),8/12/2020 8:25,22.1,4.36,0.24,391,0.26,28.4,6.5,35.4,1.62
DucK Creek ,#REF!, Smyrna Landing Rd. (Rd. 485),10/14/2020 9:46,34.1,7.54,0.15,1450,0.95,16.8,6.8,30.6,1.92
Providence Creek ,#REF!, Duck Creek Rd. (Rt. 15),12/11/2019 9:11,6.4,10.66,0.12,1160,0.1,7.6,6.7,7.3,2.28
Providence Creek ,#REF!, Duck Creek Rd. (Rt. 15),2/18/2020 9:45,17.3,10.56,0.09,43,0.11,8.4,6.2,3.88,4.07
Providence Creek ,#REF!, Duck Creek Rd. (Rt. 15),4/15/2020 9:23,6.8,8.42,0.11,245,0.05,9.6,6.1,6.34,2.69
Providence Creek ,#REF!, Duck Creek Rd. (Rt. 15),6/3/2020 9:53,3.5,8.58,0.11,4840,0.12,20.1,6.5,3.69,4.35
Providence Creek ,#REF!, Duck Creek Rd. (Rt. 15),8/12/2020 8:42,3.3,7.13,0.15,922,0.11,25.5,6.4,1.26,3.52
Providence Creek ,#REF!, Duck Creek Rd. (Rt. 15),10/14/2020 9:07,1.4,7.63,0.07,87,0.1,14.6,6.3,1.05,3.51
Garrisons Lake ,#REF!, DuPont Hwy. (Rt. 13),12/11/2019 8:37,12.5,11.91,0.16,37,0.11,7.2,7.8,106,1.32
Garrisons Lake ,#REF!, DuPont Hwy. (Rt. 13),2/18/2020 9:12,9.1,9.69,0.16,22,0.05,8.6,6.9,15.7,2.17
Garrisons Lake ,#REF!, DuPont Hwy. (Rt. 13),4/15/2020 8:49,19.4,10.79,0.21,290,0.05,11.4,7.5,106,1.54
Garrisons Lake ,#REF!, DuPont Hwy. (Rt. 13),6/3/2020 9:16,14.9,7.52,0.37,63,0.1,23.6,7.2,34,1.83
Garrisons Lake ,#REF!, DuPont Hwy. (Rt. 13),8/12/2020 9:14,19,8.8,0.44,27,0.05,30.9,7,251,1.98
Garrisons Lake ,#REF!, DuPont Hwy. (Rt. 13),10/14/2020 8:32,7.5,8.36,0.14,56,0.1,15.5,7,25.7,2.62
Leipsic River ,#REF!, Denny St. (Rt. 9),12/11/2019 8:38,46.3,10.75,0.17,31,9.64,7,7,6.11,1.18
Leipsic River ,#REF!, Denny St. (Rt. 9),2/18/2020 7:54,64.2,9.95,0.15,10,9.4,6.2,7.2,24.2,1.41
Leipsic River ,#REF!, Denny St. (Rt. 9),4/15/2020 8:01,83.6,9.29,0.21,109,6.38,12.3,6.8,60.6,1.07
Leipsic River ,#REF!, Denny St. (Rt. 9),6/3/2020 7:40,152,6.7,0.29,75,8.26,20.4,7.3,11.3,1.49
Leipsic River ,#REF!, Denny St. (Rt. 9),8/12/2020 9:24,68.7,4.37,0.43,582,1.77,27.7,6.8,23.9,1.35
Leipsic River ,#REF!, Denny St. (Rt. 9),10/14/2020 9:16,64.4,5.76,0.21,336,10.13,16.9,7.1,5.81,1.17
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),12/11/2019 8:32,4.1,10.59,0.15,203,0.15,8.2,7.4,2.43,2.28
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),2/18/2020 8:48,4.5,10.96,0.09,72,0.1,9.2,7,2.29,4.11
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),4/15/2020 8:33,8.2,9.9,0.22,245,0.05,11.2,6.6,3.81,3.01
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),6/3/2020 8:58,3.6,8.34,0.16,61,0.12,21.4,7.2,0.62,4.08
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),8/12/2020 9:58,2.8,7.39,0.23,615,0.1,27.7,6.9,1.46,3.5
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),10/14/2020 8:19,2.2,8.51,0.17,870,0.13,15.1,6.9,1.62,3.77
Little River ,#REF!, Bayside Dr. (Rt. 9),12/11/2019 8:13,51.2,10.22,0.23,223,6.72,8.3,7.4,47.3,1.54
Little River ,#REF!, Bayside Dr. (Rt. 9),2/18/2020 7:27,154,10.17,0.29,10,14.66,7.6,8.1,133,2.33
Little River ,#REF!, Bayside Dr. (Rt. 9),4/15/2020 7:25,71.5,9.5,0.29,311,3.99,12.2,7.5,79.1,1.86
Little River ,#REF!, Bayside Dr. (Rt. 9),6/3/2020 7:10,187,7.24,0.32,120,17.7,20.8,7.6,71.3,1.91
Little River ,#REF!, Bayside Dr. (Rt. 9),8/12/2020 9:52,90.8,4.77,0.42,1370,0.95,27.5,6.8,94.5,2.19
Little River ,#REF!, Bayside Dr. (Rt. 9),10/14/2020 9:44,95.6,7.05,0.24,364,18.32,16,7.3,43.5,1.24
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),12/11/2019 8:23,14.5,7.68,0.18,120,0.31,8.9,7.4,3.96,1.2
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),2/18/2020 7:39,9.4,7.19,0.09,17,0.36,7.8,7.7,3.55,1.47
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),4/15/2020 7:38,33.4,7.56,0.18,237,0.16,11.3,7.2,7.26,1.42
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),6/3/2020 7:23,8.8,5.62,0.12,32,0.48,19.1,7.3,2.69,1.62
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),8/12/2020 9:41,13.4,3.54,0.26,651,0.12,25,6.3,12.7,1.43
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),10/14/2020 9:32,9.1,4.57,0.14,523,0.22,15.4,6.9,3.38,1.37
St. Jones River ,#REF!," mouth, Bowers Beach",12/10/2019 8:21,47.8,10.1,0.09,41,22.81,10.2,7.7,10.2,0.96
St. Jones River ,#REF!," mouth, Bowers Beach",1/7/2020 8:14,37.7,10.85,0.09,5,20.47,7.7,8,46.3,1
St. Jones River ,#REF!," mouth, Bowers Beach",2/11/2020 7:35,92.2,10.5,0.21,74,15.64,9.5,7.8,96.9,1.88
St. Jones River ,#REF!," mouth, Bowers Beach",3/10/2020 10:36,68.2,10.34,0.12,10,21.5,11.2,7.9,38.2,1.03
St. Jones River ,#REF!," mouth, Bowers Beach",4/8/2020 7:15,45.8,8.99,0.11,108,13.13,14.1,7.6,34.4,1.14
St. Jones River ,#REF!," mouth, Bowers Beach",5/6/2020 8:31,144,8.23,0.22,10,19.12,16.1,7.6,48.6,1.54
St. Jones River ,#REF!," mouth, Bowers Beach",6/2/2020 10:03,30.3,9.12,0.12,5,20.37,20.1,8,87.1,1.14
St. Jones River ,#REF!," mouth, Bowers Beach",7/8/2020 10:33,79.9,5.98,0.15,63,25.36,27.7,7.6,31.4,0.84
St. Jones River ,#REF!," mouth, Bowers Beach",8/13/2020 8:43,63.1,6.42,0.19,146,21.39,27.4,7.7,60.3,0.98
St. Jones River ,#REF!," mouth, Bowers Beach",9/2/2020 10:12,49.9,6.59,0.17,52,24.48,25.8,7.7,56.1,0.78
St. Jones River ,#REF!," mouth, Bowers Beach",10/19/2020 9:28,200,7.41,0.36,189,21.52,15.7,7.6,28.5,1.77
St. Jones River ,#REF!," mouth, Bowers Beach",11/5/2020 8:37,15.9,8.75,0.12,275,7.59,12.7,7,3.57,1.89
St. Jones River ,#REF!, Barkers Landing,12/10/2019 8:40,163,10.26,0.29,118,12.55,9.4,7.6,14,2.11
St. Jones River ,#REF!, Barkers Landing,2/11/2020 7:58,50.8,10.34,0.16,135,2.5,8.9,7.9,20.6,2.37
St. Jones River ,#REF!, Barkers Landing,4/8/2020 7:35,35.3,8.42,0.09,73,7.67,14.7,7.5,13.6,1.17
St. Jones River ,#REF!, Barkers Landing,6/2/2020 10:22,72.5,7.45,0.17,130,15.42,20.3,7.9,40.2,1.28
St. Jones River ,#REF!, Barkers Landing,8/13/2020 8:23,34.1,5.89,0.3,4840,1.99,26.9,6.8,13.4,1.49
St. Jones River ,#REF!, Barkers Landing,10/19/2020 8:55,18.1,6.84,0.1,350,1.91,14.8,6.3,3.7,1.61
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),12/10/2019 8:52,60.4,10.34,0.15,128,4.21,8.7,7.5,7.9,1.97
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),2/11/2020 8:10,45.9,10.56,0.15,160,0.36,8.9,7.9,34.9,2.27
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),4/8/2020 7:49,44.1,8.76,0.13,108,2.39,15.3,7.6,33.5,1.82
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),6/2/2020 10:39,27.8,6.01,0.11,31,7.78,21,7.6,21.3,1.23
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),8/13/2020 8:04,27.1,4.49,0.27,3110,0.29,26.9,6.8,24.7,1.61
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),10/19/2020 8:41,40.3,7.87,0.15,303,0.27,14.9,6.3,9.41,1.95
Fork Branch ,#REF!, State College Rd. (Rd. 69),12/10/2019 9:56,4.5,8.64,0.13,496,0.11,11.1,7,6.97,0.75
Fork Branch ,#REF!, State College Rd. (Rd. 69),2/11/2020 9:13,5.5,10.22,0.1,203,0.05,9,7.2,3.5,1.29
Fork Branch ,#REF!, State College Rd. (Rd. 69),4/8/2020 8:47,4.2,8.48,0.15,68,0.05,15,7.4,1.94,1.29
Fork Branch ,#REF!, State College Rd. (Rd. 69),6/2/2020 8:40,4.5,6.46,0.39,84,0.05,19.6,7.2,3.41,1.6
Fork Branch ,#REF!, State College Rd. (Rd. 69),8/13/2020 9:33,5.7,4.82,0.35,4840,0.05,24.2,7,2.56,1.58
Fork Branch ,#REF!, State College Rd. (Rd. 69),10/19/2020 8:00,2.2,7.54,0.18,101,0.05,13.6,7,0.9,1.2
Moores Lake ,#REF!, S. State St. (Rd. 27),12/10/2019 9:32,2.2,10.31,0.04,86,0.13,9.8,7.4,5.06,4.5
Moores Lake ,#REF!, S. State St. (Rd. 27),2/11/2020 8:56,3.6,11.43,0.05,357,0.11,9.4,7.4,14.4,4.78
Moores Lake ,#REF!, S. State St. (Rd. 27),4/8/2020 8:32,6.4,10.38,0.07,2,0.12,15.8,7.8,19.7,4.45
Moores Lake ,#REF!, S. State St. (Rd. 27),6/2/2020 10:50,9.1,9.22,0.08,13,0.26,21.9,8.1,42.4,3.2
Moores Lake ,#REF!, S. State St. (Rd. 27),8/13/2020 7:54,7.7,6.16,0.13,2410,0.05,25.9,7.1,44.8,2.28
Moores Lake ,#REF!, S. State St. (Rd. 27),10/19/2020 8:25,5.5,9.21,0.07,202,0.12,14.3,6.3,2.06,4.79
Silver Lake ,#REF!, Spillway (Dover City Park),12/10/2019 10:09,9.9,9.4,0.08,15,0.12,9,7.1,34.6,0.76
Silver Lake ,#REF!, Spillway (Dover City Park),2/11/2020 9:30,7.6,10.92,0.1,51,0.05,9.2,7.1,40.6,1.12
Silver Lake ,#REF!, Spillway (Dover City Park),4/8/2020 9:11,16.3,9.69,0.15,27,0.05,15,7.3,49.6,1.14
Silver Lake ,#REF!, Spillway (Dover City Park),6/2/2020 8:18,16.9,9.28,0.17,34,0.05,22.2,7.8,73.6,1.1
Silver Lake ,#REF!, Spillway (Dover City Park),8/13/2020 9:49,7.4,4.76,0.3,335,0.05,25.8,6.7,69.4,1.48
Silver Lake ,#REF!, Spillway (Dover City Park),10/19/2020 8:10,8.1,6.22,0.18,293,0.05,14.8,6.5,17.2,1.15
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),12/10/2019 9:15,5.6,11.65,0.05,95,0.19,9.6,8,43,2.86
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),2/11/2020 8:27,3.8,10.86,0.04,52,0.12,9.5,7.7,6.6,3.29
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),4/8/2020 8:07,3.9,11.28,0.04,2,0.17,15.6,8.3,24.7,3.14
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),6/2/2020 9:33,4.8,12.43,0.05,29,0.1,20.8,8,24,2.57
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),8/13/2020 9:10,8.3,6.92,0.23,472,0.5,26.2,7.7,74.1,2.04
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),10/19/2020 10:01,4.8,8.45,0.06,118,0.58,15.6,7.6,16.5,2.74
Murderkill River ,#REF!, Rt. 13,12/16/2019 9:06,1.6,10.8,0.05,44,0.26,6.5,6.8,6.22,2.79
Murderkill River ,#REF!, Rt. 13,1/8/2020 7:50,4.2,11.33,0.05,117,0.11,5.4,7.6,6.99,3.22
Murderkill River ,#REF!, Rt. 13,2/12/2020 7:48,7.8,10.42,0.09,731,0.16,9.1,7,3.04,2.32
Murderkill River ,#REF!, Rt. 13,3/24/2020 7:48,6.7,10.04,0.24,4840,0.15,9,7,3.15,2.97
Murderkill River ,#REF!, Rt. 13,4/14/2020 7:29,10.7,8.45,0.37,4840,0.05,13,7.2,2.6,2.05
Murderkill River ,#REF!, Rt. 13,5/14/2020 7:21,3.1,9.84,0.08,271,0.1,12.9,7.8,1.2,3.81
Murderkill River ,#REF!, Rt. 13,6/17/2020 7:25,1.7,8.53,0.1,317,0.05,18.4,7.3,0.24,3.35
Murderkill River ,#REF!, Rt. 13,7/14/2020 7:20,2,7.72,0.12,775,0.1,22.4,7.8,0.24,3.09
Murderkill River ,#REF!, Rt. 13,8/19/2020 7:17,3.3,8.26,0.17,523,0.05,21.4,7,0.54,2.67
Murderkill River ,#REF!, Rt. 13,9/8/2020 8:26,6.8,7.68,0.16,512,0.1,20.9,6.5,0.82,2.87
Murderkill River ,#REF!, Rt. 13,10/19/2020 8:38,2.6,9.09,0.11,128,0.1,13.6,6.6,0.49,3.07
Murderkill River ,#REF!, Rt. 13,11/10/2020 8:37,2.3,8.1,0.11,372,0.05,15.2,7.3,0.32,3.4
Browns Branch ,#REF!, Milford-Harrington Hwy. (Rt. 14),1/8/2020 8:08,2.4,10.76,0.03,192,0.05,6.3,7,1.44,2.76
Browns Branch ,#REF!, Milford-Harrington Hwy. (Rt. 14),3/24/2020 8:02,5.8,9.81,0.06,775,0.1,9.4,6.8,4.34,2.37
Browns Branch ,#REF!, Milford-Harrington Hwy. (Rt. 14),5/14/2020 7:36,3.9,10.01,0.05,192,0.1,12,7.2,0.8,3.2
Browns Branch ,#REF!, Milford-Harrington Hwy. (Rt. 14),7/14/2020 7:35,2.9,8.19,0.08,651,0.1,20.1,7.5,0.45,3.3
Browns Branch ,#REF!, Milford-Harrington Hwy. (Rt. 14),9/8/2020 8:54,2.9,7.86,0.07,545,0.05,19.9,6.3,0.64,3.14
Browns Branch ,#REF!, Milford-Harrington Hwy. (Rt. 14),11/10/2020 9:06,2.6,8.08,0.05,58,0.1,15.1,6.7,0.39,3.36
Murderkill River ,#REF!, Bay Rd. (Rt. 1/113),1/8/2020 9:29,69.6,9.95,0.17,84,4.94,6.1,7.5,15.1,2.95
Murderkill River ,#REF!, Bay Rd. (Rt. 1/113),3/24/2020 9:54,40.1,10.27,0.12,192,0.29,11,7.5,70.2,3.33
Murderkill River ,#REF!, Bay Rd. (Rt. 1/113),5/14/2020 8:37,57.3,9.38,0.18,32,0.65,15,7.7,45.4,2.83
Murderkill River ,#REF!, Bay Rd. (Rt. 1/113),7/14/2020 8:45,38,2.97,0.28,1030,1.4,27.6,7,32.2,1.56
Murderkill River ,#REF!, Bay Rd. (Rt. 1/113),9/8/2020 8:24,42.4,3.95,0.21,922,0.14,24,7,21.5,1.97
Murderkill River ,#REF!, Bay Rd. (Rt. 1/113),11/10/2020 9:47,22.2,8.24,0.11,159,0.12,18.1,7.2,10.7,4.75
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),12/16/2019 11:33,77,10.61,0.16,8,19.76,4.5,7.9,12.3,1.32
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),1/8/2020 8:57,51.6,11.22,0.1,5,20.69,6.5,8.1,54.2,1
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),2/12/2020 10:05,99.7,10.87,0.15,5,21.58,8.5,8.3,82.3,1.08
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),3/24/2020 9:12,176,9.45,0.26,142,21.32,9,7.6,61.4,1.27
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),4/14/2020 9:11,210,8.72,0.31,119,14.31,13.9,7.8,110,1.89
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),5/14/2020 8:11,85.4,8.82,0.12,10,20.98,12.9,8,21.4,1.16
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),6/17/2020 8:44,205,7.63,0.33,134,22.55,20.4,7.9,48,1.59
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),7/14/2020 8:19,40.9,6.91,0.14,31,23.03,27.3,7.3,47.5,0.93
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),8/19/2020 8:37,29.8,6.38,0.19,197,18.6,24.2,7.5,34.6,1.4
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),9/8/2020 8:56,48.7,5.05,0.18,--,12.22,24.7,7,28.9,1.15
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),10/19/2020 9:17,71.1,7.56,0.14,10,22.76,15.6,7.3,15.9,0.96
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),11/10/2020 9:14,32.7,8.44,0.11,31,20.24,16.3,7.6,7.81,1.02
Murderkill River near levee ,#REF!, MNWA (RM 3.25),1/8/2020 9:06,118,11.29,0.22,20,19.99,5.1,8.1,58.7,1.45
Murderkill River near levee ,#REF!, MNWA (RM 3.25),3/24/2020 9:25,105,10.29,0.21,146,7.96,9.9,7.6,56.8,2.76
Murderkill River near levee ,#REF!, MNWA (RM 3.25),5/14/2020 8:21,88.9,7.97,0.19,10,7.05,14,7.5,22.3,2.19
Murderkill River near levee ,#REF!, MNWA (RM 3.25),7/14/2020 8:30,24.4,3.87,0.2,183,10.26,27.8,7,22.9,1.28
Murderkill River near levee ,#REF!, MNWA (RM 3.25),9/8/2020 8:42,105,3.53,0.34,1160,0.45,23.9,6.8,22.3,1.93
Murderkill River near levee ,#REF!, MNWA (RM 3.25),11/10/2020 9:27,37.1,8.99,0.13,243,10.22,15.9,7.4,5.7,2.42
Murderkill Rv. ,#REF!, confl. of KCWWTF discharge ditch,1/8/2020 9:14,61.3,10.25,0.14,20,10.38,5.4,7.6,20.9,2.52
Murderkill Rv. ,#REF!, confl. of KCWWTF discharge ditch,3/24/2020 9:38,25.1,10.15,0.25,403,0.88,9.8,7.8,18,2.94
Murderkill Rv. ,#REF!, confl. of KCWWTF discharge ditch,5/14/2020 8:28,46.5,9.28,0.21,48,0.85,14.5,7.9,31.9,2.97
Murderkill Rv. ,#REF!, confl. of KCWWTF discharge ditch,7/14/2020 8:37,37.4,3.11,0.37,731,1.28,26.9,7,41.5,1.6
Murderkill Rv. ,#REF!, confl. of KCWWTF discharge ditch,9/8/2020 8:33,31,3.99,0.2,1630,0.43,23.4,7.1,14.9,2.11
Murderkill Rv. ,#REF!, confl. of KCWWTF discharge ditch,11/10/2020 9:36,22.3,7.68,0.17,297,0.58,17,7.5,9.6,2.86
McColley Pond ,#REF!, Canterbury Rd. (Rt. 15),1/8/2020 8:27,3.9,11.95,0.04,2,0.1,6.3,7.1,20.2,4.77
McColley Pond ,#REF!, Canterbury Rd. (Rt. 15),3/24/2020 8:22,6.4,11.14,0.05,113,0.12,11,7.5,8.52,3.93
McColley Pond ,#REF!, Canterbury Rd. (Rt. 15),5/14/2020 7:56,5.1,10.71,0.07,13,0.1,15.1,7.6,22.4,4.35
McColley Pond ,#REF!, Canterbury Rd. (Rt. 15),7/14/2020 7:59,8.7,9.75,0.11,15,0.05,25.8,8,52.8,2.46
McColley Pond ,#REF!, Canterbury Rd. (Rt. 15),9/8/2020 9:15,6.4,8.63,0.12,51,0.05,24.6,6.9,28.2,2.74
McColley Pond ,#REF!, Canterbury Rd. (Rt. 15),11/10/2020 9:25,3.1,8.34,0.06,37,0.11,16.2,6.8,9.88,4.52
Coursey Pond ,#REF!, Canterbury Rd. (Rt. 15),1/8/2020 9:08,3.2,12.11,0.04,2,0.05,5.6,6.9,16.1,3.78
Coursey Pond ,#REF!, Canterbury Rd. (Rt. 15),3/24/2020 8:38,9.1,10.42,0.07,15,0.11,10.4,7.3,39,3.58
Coursey Pond ,#REF!, Canterbury Rd. (Rt. 15),5/14/2020 8:14,7,10.21,0.09,6,0.05,15.5,7.6,24,3.61
Coursey Pond ,#REF!, Canterbury Rd. (Rt. 15),7/14/2020 8:12,30.2,11.96,0.22,118,0.05,26.6,9.9,95.2,1.9
Coursey Pond ,#REF!, Canterbury Rd. (Rt. 15),9/8/2020 9:28,7,6.08,0.19,216,0.05,24.5,6.3,9.65,2.12
Coursey Pond ,#REF!, Canterbury Rd. (Rt. 15),11/10/2020 9:36,2.1,8.02,0.09,17,0.05,17.5,6.7,0.93,4.43
Double Run ,#REF!, Barratts Chapel Rd. (Rd. 371),1/8/2020 8:57,23.6,10.98,0.09,68,0.17,5.2,6.7,9.61,3.78
Double Run ,#REF!, Barratts Chapel Rd. (Rd. 371),3/24/2020 8:58,6.3,10.19,0.1,870,0.1,9,6.9,8.04,2.74
Double Run ,#REF!, Barratts Chapel Rd. (Rd. 371),5/14/2020 8:32,28.9,9.97,0.12,252,0.1,14,7.3,77.1,3.92
Double Run ,#REF!, Barratts Chapel Rd. (Rd. 371),7/14/2020 8:30,34.4,7.62,0.22,242,0.13,26,8.2,136,2.18
Double Run ,#REF!, Barratts Chapel Rd. (Rd. 371),9/8/2020 9:52,6.1,7.49,0.13,1100,0.05,22.9,6.5,21.3,3.31
Double Run ,#REF!, Barratts Chapel Rd. (Rd. 371),11/10/2020 9:55,3.8,7.36,0.06,249,0.1,15.4,6.6,1.19,3.28
Cow Marsh Creek ,#REF!, Mahan Corner Rd. (Rd. 208),11/20/2019 9:03,5.3,9.08,0.07,17,0.05,8.7,6.9,50,1.96
Cow Marsh Creek ,#REF!, Mahan Corner Rd. (Rd. 208),12/18/2019 9:21,5.4,10.79,0.07,37,0.05,6.3,6.9,10.7,1.85
Cow Marsh Creek ,#REF!, Mahan Corner Rd. (Rd. 208),1/28/2020 8:25,6.7,10.71,0.09,19,0.05,7.3,7.3,9.56,1.65
Cow Marsh Creek ,#REF!, Mahan Corner Rd. (Rd. 208),2/19/2020 9:03,4.5,9.32,0.07,22,0.05,10.3,6.7,4.04,1.84
Cow Marsh Creek ,#REF!, Mahan Corner Rd. (Rd. 208),3/31/2020 8:28,7,9.28,0.11,118,0.05,13,6.6,2.26,1.75
Cow Marsh Creek ,#REF!, Mahan Corner Rd. (Rd. 208),4/22/2020 8:23,4.3,10,0.08,70,0.05,10.4,7,5.67,1.64
